sender,receiver,amount,date,country
Alice Corp,Bob Industries,15000,2024-01-15,USA
Bob Industries,Charlie Ltd,14500,2024-01-16,USA
Charlie Ltd,Alice Corp,14000,2024-01-17,USA
Delta Holdings,Echo Ventures,50000,2024-01-18,UK
Echo Ventures,Foxtrot Inc,49500,2024-01-19,UK
Global Trade,Hotel Services,25000,2024-01-20,Singapore
India Exports,Juliet Imports,30000,2024-01-21,India
Kilo Corp,Lima LLC,100000,2024-01-22,Switzerland
Lima LLC,Mike Industries,5000,2024-01-23,Switzerland
November Co,Oscar Partners,75000,2024-01-24,UAE
Papa Trading,Quebec Ltd,20000,2024-01-25,Canada
Romeo Enterprises,Sierra Corp,15000,2024-01-26,USA
Sierra Corp,Tango Holdings,14800,2024-01-27,USA
Tango Holdings,Romeo Enterprises,14500,2024-01-28,USA
Uniform Inc,Victor LLC,500000,2024-01-29,Cayman Islands
Whiskey Corp,Xray Industries,8000,2024-01-30,Germany
Yankee Ltd,Zulu Partners,12000,2024-02-01,France
Alpha Shell,Bravo Shell,100000,2024-02-02,Panama
Bravo Shell,Charlie Shell,99000,2024-02-03,Panama
Charlie Shell,Delta Shell,98000,2024-02-04,Panama
Delta Shell,Alpha Shell,97000,2024-02-05,Panama
Echo Trading,Foxtrot Trading,45000,2024-02-06,Hong Kong
Golf Imports,Hotel Exports,35000,2024-02-07,China
India Finance,Juliet Finance,28000,2024-02-08,India
Kilo Ventures,Lima Ventures,15000,2024-02-09,Singapore
Mike Corp,November Corp,22000,2024-02-10,Japan
Oscar LLC,Papa LLC,18000,2024-02-11,South Korea
Quebec Industries,Romeo Industries,31000,2024-02-12,Mexico
Sierra Trading,Tango Trading,27000,2024-02-13,Brazil
Uniform Exports,Victor Exports,42000,2024-02-14,Argentina
Whiskey Holdings,Xray Holdings,19000,2024-02-15,Chile
Yankee Partners,Zulu Partners,16000,2024-02-16,Peru
Alpha Industries,Bravo Industries,55000,2024-02-17,Colombia
Charlie Ventures,Delta Ventures,38000,2024-02-18,Venezuela
Echo Corp,Foxtrot Corp,29000,2024-02-19,Ecuador
Golf LLC,Hotel LLC,21000,2024-02-20,Bolivia
India Trading,Juliet Trading,17000,2024-02-21,Paraguay
Kilo Holdings,Lima Holdings,14000,2024-02-22,Uruguay
Mike Partners,November Partners,11000,2024-02-23,Guyana
Oscar Exports,Papa Exports,9000,2024-02-24,Suriname
Quebec Corp,Romeo Corp,7500,2024-02-25,French Guiana
Sierra Ventures,Tango Ventures,6500,2024-02-26,Belize
Uniform Trading,Victor Trading,5500,2024-02-27,Costa Rica
Whiskey Industries,Xray Industries,4500,2024-02-28,Nicaragua
Yankee Holdings,Zulu Holdings,3500,2024-03-01,Honduras
Alpha Exports,Bravo Exports,2500,2024-03-02,El Salvador
Charlie Partners,Delta Partners,1500,2024-03-03,Guatemala
Echo Holdings,Foxtrot Holdings,500,2024-03-04,Panama
Shell A,Shell B,1000000,2024-03-05,BVI
Shell B,Shell C,995000,2024-03-06,BVI
Shell C,Shell D,990000,2024-03-07,BVI
Shell D,Shell E,985000,2024-03-08,BVI
Shell E,Shell A,980000,2024-03-09,BVI
Mega Corp,Tiny LLC,750000,2024-03-10,Luxembourg
Tiny LLC,Mega Corp,745000,2024-03-11,Luxembourg
Fast Money,Quick Cash,500000,2024-03-12,Malta
Quick Cash,Rapid Funds,495000,2024-03-13,Malta
Rapid Funds,Fast Money,490000,2024-03-14,Malta
Layering Co,Washing Inc,300000,2024-03-15,Cyprus
Washing Inc,Clean Ltd,295000,2024-03-16,Cyprus
Clean Ltd,Layering Co,290000,2024-03-17,Cyprus
Suspicious A,Suspicious B,200000,2024-03-18,Seychelles
Suspicious B,Suspicious C,198000,2024-03-19,Seychelles
Suspicious C,Suspicious A,196000,2024-03-20,Seychelles
Normal Trade,Regular Business,5000,2024-03-21,USA
Regular Business,Standard Corp,4800,2024-03-22,USA
Standard Corp,Normal Trade,4600,2024-03-23,USA
Legitimate Inc,Honest LLC,3000,2024-03-24,UK
Honest LLC,Trustworthy Co,2900,2024-03-25,UK
Trustworthy Co,Legitimate Inc,2800,2024-03-26,UK
Small Biz,Medium Biz,1000,2024-03-27,Canada
Medium Biz,Large Biz,950,2024-03-28,Canada
Large Biz,Small Biz,900,2024-03-29,Canada
Retail Shop,Wholesale Dist,8000,2024-03-30,Australia
Wholesale Dist,Manufacturer,7500,2024-03-31,Australia
Manufacturer,Retail Shop,7000,2024-04-01,Australia
Tech Startup,Investor Fund,100000,2024-04-02,USA
Investor Fund,Tech Startup,95000,2024-04-03,USA
Pharma Corp,Research Lab,60000,2024-04-04,Switzerland
Research Lab,Pharma Corp,58000,2024-04-05,Switzerland
Oil Company,Refinery Co,400000,2024-04-06,Saudi Arabia
Refinery Co,Oil Company,390000,2024-04-07,Saudi Arabia
Bank A,Bank B,1000000,2024-04-08,USA
Bank B,Bank C,995000,2024-04-09,USA
Bank C,Bank A,990000,2024-04-10,USA
Crypto Exchange,Wallet Service,250000,2024-04-11,Estonia
Wallet Service,Crypto Exchange,245000,2024-04-12,Estonia
Real Estate,Property Fund,350000,2024-04-13,Dubai
Property Fund,Real Estate,345000,2024-04-14,Dubai
Casino Group,Gaming LLC,180000,2024-04-15,Macau
Gaming LLC,Casino Group,175000,2024-04-16,Macau
Art Dealer,Auction House,120000,2024-04-17,Monaco
Auction House,Art Dealer,118000,2024-04-18,Monaco
Jewelry Store,Diamond Trader,90000,2024-04-19,Belgium
Diamond Trader,Jewelry Store,88000,2024-04-20,Belgium
Car Dealership,Auto Importer,70000,2024-04-21,Germany
Auto Importer,Car Dealership,68000,2024-04-22,Germany
Restaurant Chain,Food Supplier,25000,2024-04-23,Italy
Food Supplier,Restaurant Chain,24000,2024-04-24,Italy
Hotel Group,Tourism Agency,40000,2024-04-25,Spain
Tourism Agency,Hotel Group,39000,2024-04-26,Spain
